username,rating,text,date,company,city
"{'name': 'Akshay Gupta', 'link': 'https://www.google.com/maps/contrib/118355692526976782362?hl=en-US', 'contributor_id': '118355692526976782362', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJcvKxz5PccVYFWj90k60s8pI3MZ1RhnQCZTSI-kCUOijQc1mJg=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 12, 'photos': 23}",5,,2 years ago,Salesforce,Delhi
"{'name': 'Neeraj Dhaka', 'link': 'https://www.google.com/maps/contrib/109218360311800761871?hl=en-US', 'contributor_id': '109218360311800761871', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX-viOqceBsNayM6ZeoIhwLkMSM2WJlLtZZzUI3ksGQ4vGVO11XBA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 36, 'photos': 189}",5,❤️❤️ Best work life culture.,a year ago,EPAM Systems,Delhi
"{'name': 'Sanjay Kumar', 'link': 'https://www.google.com/maps/contrib/105399056889582756001?hl=en-US', 'contributor_id': '105399056889582756001', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVpKIQFcwKr2EgSPf3tBu3Gc7uSINrCCX1QiypoLzsAMVSAEmA=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 3}",5,Best Wark,3 months ago,EPAM Systems,Delhi
"{'name': 'Veenu Gupta', 'link': 'https://www.google.com/maps/contrib/116821830823288253246?hl=en-US', 'contributor_id': '116821830823288253246', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKdQ9qR3M-Mc-QgPAIHO8Izeq44yOy5YF9v7ncyrCPE3f7HAA=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 8, 'photos': 1}",5,Great Ambience and just at walking distance from Maulsari Avenue Metro Station,a year ago,EPAM Systems,Delhi
"{'name': 'Vinit Mehta', 'link': 'https://www.google.com/maps/contrib/102850696520026337200?hl=en-US', 'contributor_id': '102850696520026337200', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXep1rt86D93FRU4F2Edp3tBomxA_Srt9L4LONhjgVJvQdX3maV=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 15, 'photos': 37}",5,Awesome interior,a month ago,EPAM Systems,Delhi
"{'name': 'Dalvir Singh', 'link': 'https://www.google.com/maps/contrib/110286700413070651836?hl=en-US', 'contributor_id': '110286700413070651836', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU4p8tWD9KneEOPpD_-raU-DzbrSxqyD3JHJM41vaybPnWM6knE=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 8, 'photos': 106}",5,Newly inaugurated office of EPAM in NCR. Excellent facility.,a year ago,EPAM Systems,Delhi
"{'name': 'Rohit Bansal', 'link': 'https://www.google.com/maps/contrib/113890145490990029207?hl=en-US', 'contributor_id': '113890145490990029207', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV7LxDnLn5zcLTJiCbf8fbzjIlBtHwIe4mAoXrJW4hPwawUGSwWMg=s120-c-rp-mo-br100', 'reviews': 18, 'photos': 14}",5,Best location,a year ago,EPAM Systems,Delhi
"{'name': 'Ravi Singh', 'link': 'https://www.google.com/maps/contrib/113175253943578194343?hl=en-US', 'contributor_id': '113175253943578194343', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWZR_FSsfwESlr5B3TKDEd51MgMexNtOJQK4cuIJ8ClL9Aj74tS=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 14, 'photos': 69}",4,Staff was nice. Office was clean.,a year ago,EPAM Systems,Delhi
"{'name': 'Mrinnal Goswami', 'link': 'https://www.google.com/maps/contrib/101684491000798326879?hl=en-US', 'contributor_id': '101684491000798326879', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWzhzeLyIPW_sQs-8uZBFnRogR9X_r5vmeHaube_lE4cAPKuK9_=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 0}",1,Very bad,a year ago,EPAM Systems,Delhi
"{'name': 'Kamal Nayan', 'link': 'https://www.google.com/maps/contrib/108597581247401105040?hl=en-US', 'contributor_id': '108597581247401105040', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVT8KfeK_h_hW3ehK_fGxwMYErYk2U4upUvGKWeZEh7TQ5G0w3Z=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 3, 'photos': 0}",1,My personal experience was pathetic being a Trainee. The tenured one's(Supervisor) behaviour was very unprofessional & casual towards me.,a month ago,TaskUs,Delhi
