username,rating,text,date,city,company
"{'name': 'Abdul Majid Khan', 'link': 'https://www.google.com/maps/contrib/100170130190250921693?hl=en-US', 'contributor_id': '100170130190250921693', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocICBiRWQDNd-cWSpY6nZYieO0q4gWMMRp14ljm7gqBqyDZ9=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 0}",1,As the Salesforce is part of Divyashree it's security team is worst ever i have seen because I saw a delivery boy who was having all the permission to go inside to deliver the parcel and although he was talking politely rather than understanding the security team on the gate no.3 is laughing seeing each other and telling him don't go with your delivery bag or don't go with the bike some kind of time pass is going on and he walk into the Divyashree and delivered the parcel. Might be other teams are good but for security 0 i'll mark. Thank you,a week ago,Hyderabad,Salesforce
"{'name': 'Nikhil Sagar', 'link': 'https://www.google.com/maps/contrib/110837876272027863337?hl=en-US', 'contributor_id': '110837876272027863337', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVo2RGVjKo628VcvcnlC_a7DZlj0BNb20TjEopekYK0pVmtSQ00OQ=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 19, 'photos': 4}",5,"We are thrilled to work here! The environment is dynamic and inspiring, offering endless opportunities for growth and creativity. The team is supportive, and the projects are engaging. It’s a fantastic place to advance your career and achieve your goals.",5 months ago,Hyderabad,Salesforce
"{'name': 'Ankita Pandey', 'link': 'https://www.google.com/maps/contrib/111257995499910208115?hl=en-US', 'contributor_id': '111257995499910208115', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXV7_KNI0cFsEnEWu-jvNBIYxv8S2FkYzsacA6m7Z6ARGcI-3YZcg=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 10, 'photos': 4}",5,"Amazing office building, atmosphere, employee development, and experience are wonderful. Have also been recognized as a great place to work in India",a year ago,Hyderabad,Salesforce
"{'name': 'Abhinav Kishore', 'link': 'https://www.google.com/maps/contrib/112843420778641311267?hl=en-US', 'contributor_id': '112843420778641311267', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXhWKp0Lj5rDxjJ75thsmbCK_I4HRA0yLzRbznTmdivNKil9r_r9A=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 153, 'photos': 375}",5,"Great place to work! Amazing perks, value driven company with good, stable leadership. In most teams you would have talented colleagues to work with. One of the best things I like about the facilities is that the facilities are at par with offices in San Francisco and around the world.",5 years ago,Hyderabad,Salesforce
"{'name': 'Deepanshu Gupta', 'link': 'https://www.google.com/maps/contrib/105075339965849158311?hl=en-US', 'contributor_id': '105075339965849158311', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWetyAGGTiaQcfL4I2wtiph2HWjPIHt8C5392l7G_ssRAQeWz8H=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 105, 'photos': 622}",5,"Undoubtedly one of the best places to work at. Joined this place before covid and attended this particular office for two weeks. One of the coolest office I have been to, lots of employees friendly perks and privileges. Best part is the super yummy, delicious and wide variety of in house food for all employees at no cost along with a Barista.",4 years ago,Hyderabad,Salesforce
"{'name': 'Arzoo Jain', 'link': 'https://www.google.com/maps/contrib/105033646357113775488?hl=en-US', 'contributor_id': '105033646357113775488', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVcswVB9VRI4Os4M0lfng6xKK3lyd7iX5erTVfMW3G7KXcoNNuOTg=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 143, 'photos': 396}",5,One of the best company and workplace to work!!,2 years ago,Hyderabad,Salesforce
"{'name': 'Manasa rani', 'link': 'https://www.google.com/maps/contrib/109390524591264434674?hl=en-US', 'contributor_id': '109390524591264434674', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLUo2PG3tR6rAkgR5J1HlbVfKUXj2TXcVkYGbIuFPQM2I-sFA=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,Worst company I have very bad experience with employes and their project,a month ago,Hyderabad,Salesforce
"{'name': 'rakshith cheriyala', 'link': 'https://www.google.com/maps/contrib/117528338399047606641?hl=en-US', 'contributor_id': '117528338399047606641', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUSaChj67nUgff-458FhQ63G4MtS0HtexIVW8xBp1GoE3SPkPg=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 89, 'photos': 341}",5,Good workplace to go to and exciting team to work with,3 months ago,Hyderabad,Salesforce
"{'name': 'madhusudan ratnalu', 'link': 'https://www.google.com/maps/contrib/111074739088145298894?hl=en-US', 'contributor_id': '111074739088145298894', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXIce-CCJofF6FIDxWK-2HNBJY7exl89hJrtGQ2dXj1sdA6LR0BsA=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 147, 'photos': 347}",5,"Advantages :
Nice company..
Best work culture..
Good hikes...
Employee friendly..
Good support from companies on growing and learning new technology..
The office is located in a good location..

Disadvantage:
1. Around zero or one out of one thousand employees will be selected for on site opportunity.
2. To go into higher designation through the support of Level up is horrible. We need to read a lot of things to move into higher designation.
3. The reference system is the Worst one. Because you referral very rarely consider, 1/10 referral and that one also irrelevant designation they will offer. And that one is also considered after a decade 😁😉",a year ago,Hyderabad,EPAM Systems
"{'name': 'Amitava Sutradhar', 'link': 'https://www.google.com/maps/contrib/111574014307399719661?hl=en-US', 'contributor_id': '111574014307399719661', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXwtFx57ApnJjb_ZJf6DSWe8D02mhZdrA_tkGlaybsghkqNBjFKww=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 25, 'photos': 110}",5,"Nice place to work. EPAM office is available in 10th, 11th and 12th Floors of that Salapuria Sattava building. Entry gate numbers are - 7, 8 and 9. They have added many new buildings and shops in recent years. Previously it was only having 1 building but now there are multiple buildings available. Many new shops like Hard Rock cafe, Haldiram, Monastery, Sattava Cafe etc are available.",a year ago,Hyderabad,EPAM Systems
