username,rating,text,date,city,company
"{'name': 'Lakshmi Rajan', 'link': 'https://www.google.com/maps/contrib/116620174403567361013?hl=en-US', 'contributor_id': '116620174403567361013', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXg18zs_EwXQb7CJTqJg3H3ezHhHvCu4l2dBH2xOE-OkA75pW2c=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 27, 'photos': 3}",5,"A great place to work. Keralite vibes in the office design. Talented, smart and skilled colleagues. Overall a good work culture.",a year ago,Kochi,QBurst
"{'name': 'simplen 4u', 'link': 'https://www.google.com/maps/contrib/115372494707105332303?hl=en-US', 'contributor_id': '115372494707105332303', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKAzieiHFi0P5KjAGGVBgOsukQQdrUrQM5b4e-FNijw8hfxjg=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,"I have attend an interview with QBurst Kochi location. The interview has two rounds. After the first round they will arrange a second round. With all respect , This time a lady interviewer came to take the interview. She asks many questions and  give a machine test . I did all the works she asked. I  hope the selection process will successfully over and I except a call from the company. Unfortunately, I got a mail in the evening explains that "" you are not selected "". I don't know why they are keeping such an irresponsible and rude approach in their interviews. I will be spending two days for this interview. Some of my friends have same opinion about this company.",3 years ago,Kochi,QBurst
"{'name': 'Ram Madhavan', 'link': 'https://www.google.com/maps/contrib/100368301368359198147?hl=en-US', 'contributor_id': '100368301368359198147', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXaf4ozic0Lh_LeFsFl83bfU53hBpKRCD_ZbIxw8lTbDnwlygBDFA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 102, 'photos': 377}",5,A great place which offer a peaceful and zero stress working environment to explore career. Colleagues are super supportive and talented. Great work culture and lot of events. I am 100% happy for being a QBurstian.,4 years ago,Kochi,QBurst
"{'name': 'Amjad V K', 'link': 'https://www.google.com/maps/contrib/100748488148515814722?hl=en-US', 'contributor_id': '100748488148515814722', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXbc7a6DQtogy67sB2QUz04gilh9kLjJyl5jga3a05xXriuOSGhdw=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 269, 'photos': 999}",5,One of the best IT company.,3 years ago,Kochi,QBurst
"{'name': 'Uvais Komath', 'link': 'https://www.google.com/maps/contrib/110795626567875909470?hl=en-US', 'contributor_id': '110795626567875909470', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXSV__AiVZUslhrox1w9ECBTNdvJceDnp6CSkntdOk2o33kMHE6=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 179, 'photos': 191}",3,"Great for oncampus freshers and experienced professionals looking to settle down.

Offcampus freshers are paid lower 👎

Not much process oriented, has good work flexibility and good appraisal*

*Decided by manager not by any sort of work  analysis",7 years ago,Kochi,QBurst
"{'name': 'Vipin Ram', 'link': 'https://www.google.com/maps/contrib/104124884578491278258?hl=en-US', 'contributor_id': '104124884578491278258', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUwraihdq4P5MVcJJjzkNx354dqcu52O2_2Kp36No_KOfFf9Lqu=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 1}",5,Went for an interview there. All the interview procedures was very much comfortable.Special thanks to HR Merin Binny who scheduled and process everything in a nice manner.,2 years ago,Kochi,QBurst
"{'name': 'Sumayya', 'link': 'https://www.google.com/maps/contrib/117456604960998267085?hl=en-US', 'contributor_id': '117456604960998267085', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJ0vAkc6wDBY2F-F-PZKKSjEY7ZNDOtKJFvLDUJuTlZexO-M-2T=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 150, 'photos': 581}",4,One among the best companies in kerala. The hiring process include almost 5 steps. And you can crack it only if you are good at it. It is difficult for freshers.,4 years ago,Kochi,QBurst
"{'name': 'abdul nazer', 'link': 'https://www.google.com/maps/contrib/112467565904335315902?hl=en-US', 'contributor_id': '112467565904335315902', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXBzGBA4ioDRvvLQNeWKvY_QkGCapbF5oCsnH45MUkNQ7ML8EmD=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 216, 'photos': 403}",5,"One of the best software company in Kerala.
Nice work environment with  good and talented colleagues.",3 years ago,Kochi,QBurst
"{'name': 'Anjana', 'link': 'https://www.google.com/maps/contrib/101153185479461656826?hl=en-US', 'contributor_id': '101153185479461656826', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIrObr0U_0XynXw6JNAymGtiBHB-KHKGmt7KrcrrXba0vWm4y0=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,"Worst company ever. There was no work-life balance, with long working hours causing stress and burnout. I joined as a fresher and waited 1.5 years for a project, only to be assigned as a 'shadow resource' - a title that was purely nominal, as I was only given simple, mundane tasks with no real responsibilities or learning opportunities. After such a long wait, I was finally allocated to a project, but the lack of hands-on experience and lack of opportunities made it difficult to deliver.Career is totally wasted by joining here.",a month ago,Kochi,Speridian Technologies
"{'name': 'Sneha', 'link': 'https://www.google.com/maps/contrib/105180944884440046632?hl=en-US', 'contributor_id': '105180944884440046632', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVgA4nVVTdSkmOPM4-6RwByxWoup0bH2l1cg1tzsp6jm7tty7Gm=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,"I got placed in Speridian Technologies through campus placement as a position of Trainee Associate and provided me the conditional offer letter. Whenever I was asking about the joining date HR told me that they will hire me soon. They kept me waiting so long, by giving me hope that they will surely hire me. But, at last they didn't hired me.

Never Trust on SPERIDIAN TECHNOLOGIES.",5 months ago,Kochi,Speridian Technologies
"{'name': 'JiLs Thomas', 'link': 'https://www.google.com/maps/contrib/118194827528425634301?hl=en-US', 'contributor_id': '118194827528425634301', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVC6sZLg_JzEkMt5DHcxYiVV73JLsMiX3Q3stVgYvB8gxnMgGotZQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 18, 'photos': 76}",5,"Excellent office atmosphere with great infrastructure 🙂
Employee friendly management and not too much work pressure.
Enough parking area for employees, also providing games room and pantry area without swiping out !!",5 years ago,Kochi,Speridian Technologies
"{'name': 'Sneha S', 'link': 'https://www.google.com/maps/contrib/107976691354838445896?hl=en-US', 'contributor_id': '107976691354838445896', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV1mhAuhyeTDXeq0AqycOTaX3IbHk-s95Yqe9nB5etEjx8pdXqf=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,Very bad experience from the staff. Insulting behaviour. Extremely rude towards the interview candidates,a year ago,Kochi,Speridian Technologies
"{'name': 'DK', 'link': 'https://www.google.com/maps/contrib/110406973085267250832?hl=en-US', 'contributor_id': '110406973085267250832', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUXQtU8tOv9lYba3iDRMVUm1CpR0wD5pnh-zJbul91GFLYIw3y5=s120-c-rp-mo-br100', 'reviews': 13, 'photos': 23}",1,"Company is really Dissatisfied

- Worst interview process for experienced candidates.",2 years ago,Kochi,Speridian Technologies
"{'name': 'Muhammed Mishab', 'link': 'https://www.google.com/maps/contrib/115758960943725804878?hl=en-US', 'contributor_id': '115758960943725804878', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVrFReXtEWdOEm8juiJCee258FQIWvcOpHxcm7dTgKDbBykjlgyLA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 39, 'photos': 174}",1,Good company but Lack of good staff,a year ago,Kochi,Speridian Technologies
