username,rating,text,date,city,company
"{'name': 'Aathmik eshwar', 'link': 'https://www.google.com/maps/contrib/114322224449041197113?hl=en-US', 'contributor_id': '114322224449041197113', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWTsXtJo3a5fk5ummO6bUoAit5eCAPySg9hWA83B-IVKHDiHp9BKQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 32, 'photos': 58}",1,"Freshers why do you even join here . Speaking from KPIT Intern training feedbacks ! Absolute worst treatment . Join somewhere else or be unemployed, it's better than being employed here . If you are ready to get disrespected, have no self value then you can join this company. Praying for upcoming batches (RIP 2024 batch)",2 months ago,Pune,KPIT Technologies
"{'name': 'Pankaj Patil', 'link': 'https://www.google.com/maps/contrib/110600990391849428196?hl=en-US', 'contributor_id': '110600990391849428196', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWTfiAEdzbiK0NbKcu6D0NuDP41P648LkxDnEnG81w_rdkoXYDV=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 46, 'photos': 383}",5,"Atmosphere at KPIT technologies is very good and it's feels like connected with mother earth, always feels fresh. The office of KPIT is very clean and hygienic.
Other than this
1. At the entry if your new you need to go through the security counter where you will gate Guest ID card and they will ask for if you have any laptop pd and all for safety concerns.
2. After that go to the main entrance for the building where you need to register entry in register book at entry and exit as well.
3. At there you can ask for direction to Security person they will guide you accordingly.
4. After staircase tak left at that you can go under the bridge or you can take staircase to reduce the efforts
5. And then go straight from in front of building then you will see canteen and ground after going straight.
6. Or if you want to go to building B then after first building gate go to next gate there you can find lift which will lead you to Buliding B
7. After that if you want to go to canteen from buliding B go through single lift which will directly lead you to canteen at your left.
8. And if you take right after exiting from lift you will find amphitheatre after going forward.
9. If you want to collect ID card then after leaving lift go to the counter present in next Buliding.
10. And after that you can explore new things by yourself. Don't forgot to take a view from every point",2 years ago,Pune,KPIT Technologies
"{'name': 'Ujwal Pande', 'link': 'https://www.google.com/maps/contrib/116430459348705839103?hl=en-US', 'contributor_id': '116430459348705839103', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXXKThG6us93au8mzVVcZywL0CFyvK8jISWRZllHX79yy7ExpI=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 44, 'photos': 1}",3,"Good and scenic campus.
Can do better:
Parking to building connectivity.
Bigger canteen to accommodate workforce.
Better canteen vendors.
Better food quality and rate control.
Increase seating capacity.
Increase parking facility, current need is double of available.",5 months ago,Pune,KPIT Technologies
"{'name': 'Neeleshb Bhosale', 'link': 'https://www.google.com/maps/contrib/117716473727692380742?hl=en-US', 'contributor_id': '117716473727692380742', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXJxNgCl9WVjl2p5pW1te9ePuMFX3_1A-5DxziYVw51hO-jxhc=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 194, 'photos': 1375}",4,"Good company for IT services

Surrounding Environmental is very beautiful
Which refreshing the employees mind",a year ago,Pune,KPIT Technologies
"{'name': 'Mohammad Amaan Patloo', 'link': 'https://www.google.com/maps/contrib/111948072081723279116?hl=en-US', 'contributor_id': '111948072081723279116', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWfgf_v5mzVnBUm5ghiZUDmyo3_rTnaiaayQuO7DzEQFU9BJ_6_=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 3, 'photos': 11}",5,Best place to grow.,2 months ago,Pune,KPIT Technologies
"{'name': 'Er. Ajit Kumar', 'link': 'https://www.google.com/maps/contrib/103411263907298015894?hl=en-US', 'contributor_id': '103411263907298015894', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUEUP5Tq6yqaiClfSpqiYojn4-jMDNHWEFyIvoeZW8STzYeem5I=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 33, 'photos': 28}",5,"It's a very nice platform to start your career as a embedded software developer, and it's one kind of proud moment to working in Indian automotive company. Best thing about this office is it's located behind the mountain, which gives beautiful natural view, and the campus and infrastructure inside the office is fantastic.",6 years ago,Pune,KPIT Technologies
"{'name': 'Ashutosh Ratre', 'link': 'https://www.google.com/maps/contrib/117943157942233336185?hl=en-US', 'contributor_id': '117943157942233336185', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVEZKETzEuun-vS_PHyJJUGHeafG9VNqv2VU_nG4dvrsZBsOVMQ=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 59, 'photos': 244}",4,"Phase 3 campus photos.
This is a new office situated in hinjewadi phase 3 and they also have one office in phase 1. Birlasoft and Kpit technologies has been merged and I think phase 1 office will be given to Birlasoft later. It takes 15 mins drive from phase 1 office to reach here with no or less traffic.",6 years ago,Pune,KPIT Technologies
"{'name': 'Nilofar Patel', 'link': 'https://www.google.com/maps/contrib/117600353179716519724?hl=en-US', 'contributor_id': '117600353179716519724', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWmIFBcs35fI31vDtOI1HrpduZ4HvfAUJJuoCqwEHtNmLnd6t14=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 31, 'photos': 17}",5,"This place is no less than a resort at a Hill station , very beautiful campus, just love working here.",6 years ago,Pune,KPIT Technologies
"{'name': 'RAJESH DIXIT', 'link': 'https://www.google.com/maps/contrib/110725406523291148939?hl=en-US', 'contributor_id': '110725406523291148939', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVQfTZmgdPXK-L1YTDK8XuOJ_JWNl3EMiDVJJTeU8pao9ghFfMv=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 113, 'photos': 116}",5,"Just like wow... Infrastructure and helping hand , supportive environment From security to Management",3 weeks ago,Pune,NVIDIA
"{'name': 'NEELMANI', 'link': 'https://www.google.com/maps/contrib/104905955007831978613?hl=en-US', 'contributor_id': '104905955007831978613', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU7tG73FYCMU7ylOUpTbDHyULjNgtxGaKzZHZXOel7DfLm0GN1sFw=s120-c-rp-mo-ba7-br100', 'local_guide': True, 'reviews': 347, 'photos': 8117}",5,Nvidia the world's computer rests.  The office is far from ratings it just excellent. Located bestly in the city.  The Indian computers thik of this office for all the graphics chips and codes that the made inside. Amazing since my childhood friend also works here.  Atul ujjwal.,8 years ago,Pune,NVIDIA
