username,rating,text,date,company,city
"{'name': 'Rishabh Saxena', 'link': 'https://www.google.com/maps/contrib/114038296022600650755?hl=en-US', 'contributor_id': '114038296022600650755', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKEXb6BqQoYgFWGj2d2HWrPqssvx0PUYN_sqV39XKj2lDhi6e_l=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 66, 'photos': 184}",5,Beautiful DC in The City Beautiful (Chandigarh). ❤️,a month ago,Infosys,Chandigarh
"{'name': 'Vishvadeep Singh', 'link': 'https://www.google.com/maps/contrib/114193778511055378185?hl=en-US', 'contributor_id': '114193778511055378185', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVCXC6gl1DaBXGAi4Zxijb-Xi4hI9E-w79T9SlJQeeHL8jme0Ik=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 48, 'photos': 46}",5,"Best office.suitated in Great area.
Infrastructure is also very good",3 months ago,Infosys,Chandigarh
"{'name': 'Khusi Maurya', 'link': 'https://www.google.com/maps/contrib/105772772461985684680?hl=en-US', 'contributor_id': '105772772461985684680', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWhNBMg_tIEb_C0DeIuOKL1fo-_owmLM0WWDAuZZndiu6izDr8=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 24, 'photos': 24}",5,It's beautiful with lots of flowers and fruits.. 😊,a year ago,Infosys,Chandigarh
"{'name': 'Rajat Chhabra', 'link': 'https://www.google.com/maps/contrib/106725358290873648689?hl=en-US', 'contributor_id': '106725358290873648689', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVu7dOnMAW9UHPAyNm1cqUAsq1zDEY4RzGlj3sZZNizy8fHM3J4hA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 91, 'photos': 168}",4,Great place to chill after lunch! Also the Game zone here is a stress buster,6 years ago,Infosys,Chandigarh
"{'name': 'Chirag Virmani', 'link': 'https://www.google.com/maps/contrib/105323108355234081188?hl=en-US', 'contributor_id': '105323108355234081188', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU8zApxqI-jl7yrPW5dHMCols1pRx_ScxYGqpRnlTb6AZWs5c0sNQ=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 15, 'photos': 4}",5,One of the best campus of infosys. The facilities are well maintained from food court to workstation everything are well organised. Also the ECC (official accommodation) are well managed. People engaged in the ECC services are very supportive from receptionists to House keeping staff. Overall good experience.,a year ago,Infosys,Chandigarh
"{'name': 'Raghav Chawla', 'link': 'https://www.google.com/maps/contrib/106542932923515568940?hl=en-US', 'contributor_id': '106542932923515568940', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWlHyNgBFPAoQQjWZXoHkc1MW7QV9DHVooCNGGUsH-NVlKxLOT4=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 56, 'photos': 46}",5,"Such a great place , immensely big campus with lots of facilities loaded .

Clean and green environment around ..",a year ago,Infosys,Chandigarh
"{'name': 'Anoop Raj', 'link': 'https://www.google.com/maps/contrib/111502532216178148473?hl=en-US', 'contributor_id': '111502532216178148473', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXHQY3bJ_ia6Ag6z6yAmmryVMBxL0h8_GEXOKg8Fl5jOxIlFjQ=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 114, 'photos': 74}",5,It's soo lovely place and beautiful grounds..,3 years ago,Infosys,Chandigarh
"{'name': 'Bhola Singh Dhillon', 'link': 'https://www.google.com/maps/contrib/100354441757662945177?hl=en-US', 'contributor_id': '100354441757662945177', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV8RncWghxAHbsglaDamyE_GvnZC_xL0uyx8vYJG6yRwK_q_TE=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 21, 'photos': 0}",5,It is the most amazing garden with variety of plants flowers surrounding and ultra modern swimming poop.it is maintained by professional gardeners..The hydroponics installed just amazes you..,5 years ago,Infosys,Chandigarh
"{'name': 'Deep', 'link': 'https://www.google.com/maps/contrib/116694420315145144120?hl=en-US', 'contributor_id': '116694420315145144120', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVncmF8Yp24QLcjicQGmAnJXmXZ9YH2lk_rfVJbHXpKnjcK1F5cXQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 35, 'photos': 30}",3,Good but there are lots of things which needs for the improvements. There are many things to highlighted but one thing which I hated the most HR team not supportive at all. They don’t know how to deal with new old employees whenever you visit them for any inquiry every time they said they don’t know about that,3 months ago,Tech Mahindra,Chandigarh
"{'name': 'Sumit singh rajput', 'link': 'https://www.google.com/maps/contrib/109645432310319265675?hl=en-US', 'contributor_id': '109645432310319265675', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUaSTHbXec-v3TrctyepfK2g9Br3Zay1mVGv8bYgIcnD4SQKAqY=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 4, 'photos': 14}",4,"Best company in IT sector.
Tech Mahindra is a big organisation. It is a IT company. The services provided by Tech Mahindra is - outsourcing, voice process, non voice process and much more.And it also has the parking only employees can park the vehicle inside the building because there is a parking sticker needed for that.",a year ago,Tech Mahindra,Chandigarh
"{'name': '11 Shruti Rai', 'link': 'https://www.google.com/maps/contrib/101913307051527201394?hl=en-US', 'contributor_id': '101913307051527201394', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLaR8h-VSUM3YPWWLf5ex6tJi4stWLRHjRqD6T20s20Fcrt9A=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,"My experience with this company has been extremely disappointing. I went through several rounds of interviews and tests, only to be told after a full day that I was selected. After spending significant time and money traveling for a 15-day training period, I attended for only 2 days before being informed that the training was on hold due to client dissatisfaction. The entire experience felt like a waste of time and resources. I would not recommend this company to anyone.",5 months ago,Tech Mahindra,Chandigarh
"{'name': 'Lakshdeep 2089', 'link': 'https://www.google.com/maps/contrib/116547830724749521101?hl=en-US', 'contributor_id': '116547830724749521101', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXiya42yGnd7XpgK3zkQLVqE8Y5nFrNdYTIx8e9_azxorQkFZM8=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",1,One of the wrost company ever you hold my 4000 rupee when I left tha company why you not pay my money I left company in oct 24 but still did not get my full and final statement who's read this msg plz never join tech Mahindra Chandigarh branch wrost management worst everything now let's talk to Twitter,2 months ago,Tech Mahindra,Chandigarh
"{'name': 'Anchor Akhil', 'link': 'https://www.google.com/maps/contrib/110688732770950865332?hl=en-US', 'contributor_id': '110688732770950865332', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXaRGz-0GsJ1TOrL0xAdkoP5aEr6BPXOZPpXl15LXU1hrQjGG0Q=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 52, 'photos': 71}",4,It's a great place to work. More than 2200 employees working there. Its 24x7. Cafeteria is large in area.. Food availability is good. Safe company for new ones,4 years ago,Tech Mahindra,Chandigarh
"{'name': 'Sanjay Bisht', 'link': 'https://www.google.com/maps/contrib/105851964987340394440?hl=en-US', 'contributor_id': '105851964987340394440', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUDGQMUodzNoZzzPSctNUIuENuV3cNbgkYnfhJ3rtxIhL-FvMQP=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 55, 'photos': 43}",3,"The office was old style cubical.
The canteen was big but the food wasn't that good.
Parking to only  employees who have the parking card was only able to park.
Its mostly for BPO only for IT there sas less floors.",a year ago,Tech Mahindra,Chandigarh
"{'name': 'Amarjeet Amar', 'link': 'https://www.google.com/maps/contrib/112036522517621412547?hl=en-US', 'contributor_id': '112036522517621412547', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX68FzdYl8q7wuKNveYNSasiT6O6wD9Nu1fUaldiBtFNVVEGtCyIg=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 106, 'photos': 733}",4,"This is a wcom company in which you can hire by walk in interview as well as online. Very good place to get a job and skills up your life growth.
This company is situated in chandigarh at IT park road near Manimanjra. This company is safe to work in free environment because it is  maintained by administration inside this building.

If you want to join please visit tech mahindra website or connect to employee there.",2 years ago,Tech Mahindra,Chandigarh
"{'name': 'Rohit Kumar', 'link': 'https://www.google.com/maps/contrib/114331900213924223666?hl=en-US', 'contributor_id': '114331900213924223666', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV9Bv1ZOlRO_rPdMzjc62AMysE3j3njo2EgGJ92zw1AUkNi9c68=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 36, 'photos': 727}",5,"It is easy to arrive at this place by autorickshaw from manimazra bus stop
But in return time, it is hard to find a bus , the Recital ask for much(4 times as much)money

Otherwise it is nice place, no entry without any permission,,, if you speak best English language then comes here for interview(after 12th, Diploma & graduation) for the call center job",5 years ago,Tech Mahindra,Chandigarh
"{'name': 'Tom Vandenbout', 'link': 'https://www.google.com/maps/contrib/114622370367607544076?hl=en-US', 'contributor_id': '114622370367607544076', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLA4Yrc27GZFTSI0ZKI6LhP3wwLxGCsqq1fdt-fjXWzBu-k7g=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 3, 'photos': 2}",5,"Hidden gem of a speakeasy. Not officially open for another week! We tried every cocktail on their menu over three consecutive evening - loved every one of them (and we drink a lot). Beautiful room. Cool soundtrack. Sweet and attentive staff. Worth effort to find them and get in. Rajeev, Rakshita, Tarun, Kumar, and Vipasha rock the cocktail world. Love to them!",3 weeks ago,NetGains Technologies Pvt Ltd,Chandigarh
"{'name': 'David Carlson', 'link': 'https://www.google.com/maps/contrib/102530946952326171097?hl=en-US', 'contributor_id': '102530946952326171097', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKS5myi5IdJaSb5szxgz6k2G1utQktbi9MXZHqdXUMRr19SzQ=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",1,"My experience with Net Solutions was nothing short of disappointing and frustrating. Despite clearly outlining the scope of work, they consistently failed to deliver on their promises. What's worse is their complete lack of accountability for their mistakes.

Throughout the project, I encountered numerous setbacks and issues, all of which were met with excuses and blame-shifting from Net Solutions. Despite being the paying client, I found myself constantly on the defensive, with Net Solutions refusing to acknowledge their shortcomings.

Not only did they fail to rectify the issues, but they also refused to provide a refund for their subpar services. It's clear that customer satisfaction and integrity are not priorities for Net Solutions.

Save yourself the headache and avoid Net Solutions at all costs. Their inability to deliver on their promises and their unwillingness to take responsibility for their mistakes make them a poor choice for any project.

Instead of reaching out to me directly to address the issues raised in my review, they decided to post false claims, trying to shift the blame onto us, the customer. This is exactly what they do—avoid taking responsibility and instead place the blame on the client. They do not hold themselves accountable for their own failures.

If you have a project that requires experienced, senior-level resources, stay far away from this company. They will mislead you, claiming they can handle it, only to fail in the end, and then accuse you, the customer, of causing the problems. Terrible company—do yourself a favor and find someone else",4 months ago,Net Solutions,Chandigarh
"{'name': 'Jaswant Choudhary', 'link': 'https://www.google.com/maps/contrib/104280174375691949394?hl=en-US', 'contributor_id': '104280174375691949394', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXtmAxUumhCCI0zDslYTBeZ0KkcHjd6oxNRcJSK86FwrKCt0i_j0A=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 242, 'photos': 1221}",4,A fancy building not wrong to say one of the prettiest offices in Chandigarh. You will make some good friends here. Salary credited on seventh of every month. This is located just near to Infosys technologies company office. This is good for people who don't want to work outside Chandigarh.,3 years ago,Net Solutions,Chandigarh
"{'name': 'Steve Persinger', 'link': 'https://www.google.com/maps/contrib/107402015522841730228?hl=en-US', 'contributor_id': '107402015522841730228', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVWKDxKbQ9bJ4EA_jNIButhkG4Zo7C5-Hl3-oCPGvv9CxdG64c=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 29, 'photos': 9}",1,They call my company repeatedly even though we have told them to stop. When I did speak with them their employee was rude and pushy,3 months ago,Net Solutions,Chandigarh
"{'name': 'Steven Cross', 'link': 'https://www.google.com/maps/contrib/100503001212009138434?hl=en-US', 'contributor_id': '100503001212009138434', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIkXHXMMpIgDmikhG_lZk385ImN47OgPHear_e6Nh50JFDW1Q=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 4, 'photos': 0}",1,"I don't know where this company got my information but they emailed my personal email address and called my personal cell phone number without my permission to try a sales pitch for my work. Even after emailing them back and asking them to stop emailing my personal email address, they started to call my personal cell phone number. Even after telling the caller multiple times for them to remove my personal phone number from their call list they still tried to keep trying their sales pitch. Unprofessional at best.",2 years ago,Net Solutions,Chandigarh
"{'name': 'Daniel Wolfe', 'link': 'https://www.google.com/maps/contrib/111893528130203198075?hl=en-US', 'contributor_id': '111893528130203198075', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVtScvmTPbu9vMZoVGQh31hdLhwJ56_tw4LB32Gtme3t07l_UBZnw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 25, 'photos': 75}",5,"Fantastic company! They make a great extension to any team - from design and conception through development and deployment. I'm very lucky to have had Net Solutions on my side for the past 5 years, and look forward to continuing our partnership for another 5 years and beyond!",10 years ago,Net Solutions,Chandigarh
"{'name': 'Amanjeet Singh', 'link': 'https://www.google.com/maps/contrib/116373377332704914964?hl=en-US', 'contributor_id': '116373377332704914964', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUqkzqgYwX1kGwX5LizUErQc9VUWs1OvSXDncp6acW981D8_230=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 4}",5,"Pros -:
One of the finest company in Chandigarh.
Nice work culture.
Clear vision.
Good learning opportunities
Recognitions for Achievements - great & small
Flexibility to get into any domain if you have the guts.

Cons -:
Work Life balance is very bad because of the aggressive estimation.
There are still few people who feel that a resource should work under their thumb and not with them.",12 years ago,Net Solutions,Chandigarh
"{'name': 'Manoj Juyal', 'link': 'https://www.google.com/maps/contrib/107590710692746367739?hl=en-US', 'contributor_id': '107590710692746367739', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVCvaWIa0ZgNIDd0Atte4ul4O2Jy5U9ypqh7X2v9n2-r-d3IgCwfA=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 31, 'photos': 10}",5,"I joined Net Solutions in July 2013 and I'm loving the highly challenging, innovative, and collaborative environment. One of the best organizations I've worked with.

Best things I like about Net Solutions - Honesty and Integrity, Transparency, Quality, Respect for the Individual, and Focus on the Customer.",11 years ago,Net Solutions,Chandigarh
"{'name': 'radhika wangoo', 'link': 'https://www.google.com/maps/contrib/102573631775951140981?hl=en-US', 'contributor_id': '102573631775951140981', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocImCP6AgMiop_I7c6-Aizl5Clxhk9iK6mEhUjmIs9EeKE3ssBQ=s120-c-rp-mo-br100', 'reviews': 9, 'photos': 0}",1,"Despite of known among the leading firms in tricity, your recruitment process is awful. HR are not available at the point of contact and moreover they don't provide the feedback even after 4 days. Please make sure your hiring process is a little more professional.",3 years ago,Net Solutions,Chandigarh
"{'name': 'Ruchika Khajuria', 'link': 'https://www.google.com/maps/contrib/118196677760223878676?hl=en-US', 'contributor_id': '118196677760223878676', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocK_cEbsWam3RTMwfg-EVRoLs65WkMJ4SubkosELfuYHoieZew=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,"They're arrogant and rusty old guys and are super rigid and egoistic.
They have mentioned just lies on their website about flexibility and remote culture. There is no flexibility for women employees.
In all the 4 interview rounds, they asked questions like:
1. Who all are there in your family?
2. Are you married?
3. How many years have you been married?
4. Do you have any kids?
5. How many kids do you have?
6. What is the age of your kids? ... Blah Blah..

They don't mention anything on offer letter related to Rs 2 Lakhs indemnity-bond and you will get to know about this only on the day of joining which will create a confusion and feeling of betrayal, and if you continue with them, you can't even leave before 1.5 years.
If you raise any concern in those 1.5 years, they will listen to you but won't take any action on it because you have signed a Rs 2 Lakhs bond.

Also, their cafeteria is unhygienic and dirty. You will fall sick by having a meal there. Management doesn't pay any heed to any suggestions.

NOT RECOMMENDED. Please don't spoil your life by joining this company.

May God and Karma take care of them.",2 months ago,Netsmartz,Chandigarh
"{'name': 'Pankaj Mittal', 'link': 'https://www.google.com/maps/contrib/109548263528953267354?hl=en-US', 'contributor_id': '109548263528953267354', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXdz_RgYNeF6Gh1jPiebud_Bw96e0RGyUeATpa0dIsepI67aQWKTw=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 7, 'photos': 1}",5,"Aqlix IT Solutions, one of the most trusted names in the IT industry, is proud to operate from Netsmartz’ state-of-the-art office. With its advanced infrastructure and a passion for innovation, Aqlix is committed to delivering unmatched quality to its 1000+ SME & Enterprise customers worldwide.

Operating across 5 countries, Aqlix has established itself as a leader in building strong customer relationships, excelling in product development, and leveraging the expertise of highly skilled software developers. Our success rate speaks for itself — with Aqlix, 100% delivery success is not just a goal but a guarantee.

Choose Aqlix to optimize your IT solutions, elevate your digital presence, and drive success. Partner with Aqlix IT Solutions to experience the difference in quality, reliability, and innovation.
With Aqlix, the future of technology is here.",2 weeks ago,Netsmartz,Chandigarh
"{'name': 'Jaswant Choudhary', 'link': 'https://www.google.com/maps/contrib/104280174375691949394?hl=en-US', 'contributor_id': '104280174375691949394', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXtmAxUumhCCI0zDslYTBeZ0KkcHjd6oxNRcJSK86FwrKCt0i_j0A=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 242, 'photos': 1221}",4,Its located in Chandigarh IT park near INFOSYS. Good company to work for and learn. Employees used to take part in all the sports activities especially Night Football and Night Volleyball under flood lights.A little more emphasis on employee training will help.,6 years ago,Netsmartz,Chandigarh
"{'name': 'sumit sharma', 'link': 'https://www.google.com/maps/contrib/104939609054703215394?hl=en-US', 'contributor_id': '104939609054703215394', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWq9DyGejtp4aFcXWZlxawpiqyPjQ8JY0yvm9eUrvqiK0_VrJAh=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 51, 'photos': 82}",4,"Great place for professionals specially for IT guys. Companies provide job in various profiles lile marketing, recruitment, developer, MIS, Accounting etc.",2 years ago,Netsmartz,Chandigarh
"{'name': 'Sameer Sharma', 'link': 'https://www.google.com/maps/contrib/108095793010274861462?hl=en-US', 'contributor_id': '108095793010274861462', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLgV5jbBHQjKGFWG1QZwTZZCV79zd5mR1lRBkKl0rYxwl7IFw=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,"Pathetic place to Work, Poor Management but yea Full Politics Environment, Too many late night siting even they call in weekends and National holidays for work. All old employees become Manager now who don't have work experience and don't have Management skills but yea they are perfect on argument with employees. They threatens to ruin your career.",10 months ago,Netsmartz,Chandigarh
"{'name': 'Kajal Chhetri', 'link': 'https://www.google.com/maps/contrib/117758756967599504828?hl=en-US', 'contributor_id': '117758756967599504828', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX22R8ixNA0UeDDtfreR8STB3rPSg0Wlb0wkjHcHczSiLK8YygeDA=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 10, 'photos': 2}",1,"The administrative staff could be more efficient. They destroyed the activa valves simply because it was in a prohibited area. If parking Activa wasn't permitted, they ought to have told us, at the very least stopped us, or demanded that we pay a fine. However, what they did was such an obnoxious act. Who will take the responsibility? Taking such drastic action that could endanger anyone's safety without communication is completely unacceptable.

Please place at least a sign saying ""No Parking"" in areas where parking two wheeler vehicle is prohibited. Second, be sure of the presence of security personnel who can inform the person. I am aware that the time they wasted cant be compensated. But however Mr.JAGNATH whatever the name was instructed the guards to do such rubbish act should apologize and consider my feedback. thanks!",2 years ago,Netsmartz,Chandigarh
