username,rating,text,date,company,city
"{'name': 'Kirti', 'link': 'https://www.google.com/maps/contrib/114898317634088900278?hl=en-US', 'contributor_id': '114898317634088900278', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVRc9-K-Sxh9-BBN_fotc7Ir-5JV-0m9t77sr2Rdf2i4aXKuvq6BA=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 19, 'photos': 66}",5,It is so vastly spread in the area. The architecture is divine. The place is 10 mins walking from western express Highway metro station or gundavali metro station.,a week ago,TCS,Mumbai
"{'name': 'shailesh desai', 'link': 'https://www.google.com/maps/contrib/108299233605531180632?hl=en-US', 'contributor_id': '108299233605531180632', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVQesSie1hO4YejBDpoF3pNUYruuxqSaAmaEaMetYBhfoQK4XvX8g=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 26, 'photos': 156}",5,Place is good and it has good vibe...not too crowded hence its more nice...people are good they gel with each other pretty well.,6 months ago,TCS,Mumbai
"{'name': 'Bharat vaishnav', 'link': 'https://www.google.com/maps/contrib/108384190117907800588?hl=en-US', 'contributor_id': '108384190117907800588', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVKb0QhufikzxfmVmFlx2pOAssnSYXFf1F0x4w9RJLfc8SEMcM=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 28, 'photos': 0}",5,Absolutely amazing place to work. Large green area amid urban City in Andheri. Very well connected with Western railway and Metro,8 months ago,TCS,Mumbai
"{'name': 'Meemoh Yadav', 'link': 'https://www.google.com/maps/contrib/107868614066712089593?hl=en-US', 'contributor_id': '107868614066712089593', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocICPouFYELsyYEpIkfDCQA3Yi_GJUQaGkmLSuqnx4H_O4vso2BE=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 16, 'photos': 117}",5,"This a company Tata consultancy services private limited.

Am not worked here but am leave this company near.

And company is a very longest and security systems is very power full am not enter in gate on office but am looked this company daily after dinner walk .

I have some pictures company since night time
Upload you cam see ..

This company near red bus stop shivneri bus stop, there bus stop is too good here sitting system available here.

This company near JK residency distance 100M, there OYO room available .

Ok thanks",6 years ago,TCS,Mumbai
"{'name': 'Rana Gautam', 'link': 'https://www.google.com/maps/contrib/114942334649177279425?hl=en-US', 'contributor_id': '114942334649177279425', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVK9bwPIlKzVrFmAQyKhF43tXfNFjA0DQS6DMOsZqurMf7485s=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 155, 'photos': 5592}",5,"Very difficult to beat the location. Bang at Western Express Highway. Connectivity with road is excellent. Walking distance from Metro. The gate is generally closed, understandable. However staff is very helpful. Inside the campus is very spacious and lush green.",5 days ago,TCS,Mumbai
"{'name': 'KIRAN SHINDE', 'link': 'https://www.google.com/maps/contrib/105275254939701248991?hl=en-US', 'contributor_id': '105275254939701248991', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXTdncl-C-fdfHZzueco3xsk9LG260e8wt-40dVAlGzvjVjIuEp=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 74, 'photos': 26}",1,"Worst security. They have rude security my mom came with me on first day and they didn't allow her to sit in inside waiting lounge instead asked her to leave. I wonder if Tata Sir comes for surprise then the security would treat the same?
Management take this in serious note and train your security to be compassionate",a year ago,TCS,Mumbai
"{'name': 'Smit Mahajan', 'link': 'https://www.google.com/maps/contrib/106096869920221972715?hl=en-US', 'contributor_id': '106096869920221972715', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX4L4fcij0VPfHfzErra-BS3PJ_u3NWpYYXCoKl7PEZQ4--FYdXuw=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 10, 'photos': 3}",5,Loved the greenery over the walkway place.,2 months ago,TCS,Mumbai
"{'name': 'waheed shaikh', 'link': 'https://www.google.com/maps/contrib/106617360415978346435?hl=en-US', 'contributor_id': '106617360415978346435', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW8Vbf0hnVi86pld2j_JpcA5EusWmlHhFefsfjkqdPNzCWw3r0wwg=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 147, 'photos': 70}",5,Tata consultancy services is a branch of Tata IT sector Tata consultancy services have so many branches in India and across the India I'm working as a chiller operator in Tata consultancy services banyan park Andheri East atmosphere is good and security checkpoint and safety point is high leve clean and good all things going professional,a year ago,TCS,Mumbai
"{'name': 'Dipankar Meshram', 'link': 'https://www.google.com/maps/contrib/103082340974169098402?hl=en-US', 'contributor_id': '103082340974169098402', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUg_ZIZ6OHaAD2Og46wuZYakD79m49ourwWWAkpkKd4TYPGM0Qi=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 201, 'photos': 359}",4,"Infosys Vikhroli office is situated in a good location..The atmosphere of working is also good, and seats are only 150-200. Usually the office is full 75-80 percentage. You get a good view from the windows of the Navi Mumbai and the green area of mangroves. Washrooms, dining area are clean",a year ago,Infosys,Mumbai
"{'name': 'Chaitanya Mishra', 'link': 'https://www.google.com/maps/contrib/112632067238958532520?hl=en-US', 'contributor_id': '112632067238958532520', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUsrUvyKn3jY-wsVpuW-LGOS5ccEVDWy59o8MpMUJ37Dm1xAmM=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 34, 'photos': 28}",4,"Great place to work, having good views and good seating arrangement",a year ago,Infosys,Mumbai
"{'name': 'Jyoti Saroj', 'link': 'https://www.google.com/maps/contrib/101484258271346335592?hl=en-US', 'contributor_id': '101484258271346335592', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUQWvxVhfXphdnj3_m3Z1Drn4EDzoCkmSn0vlCKqfDtMVHIw6qm=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 85, 'photos': 355}",5,Very nice and beautiful environment of office,a year ago,Infosys,Mumbai
"{'name': 'Aditya Sharma', 'link': 'https://www.google.com/maps/contrib/117162651309953195002?hl=en-US', 'contributor_id': '117162651309953195002', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVdqo9Y7L6dHT-lSiSuUoVXFfNUmEjEOLltvNLxVN9qn_2Wh9SI=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 93, 'photos': 15}",4,Good location but small capacity of office,a year ago,Infosys,Mumbai
"{'name': 'Sushant Navale', 'link': 'https://www.google.com/maps/contrib/104905304684432860210?hl=en-US', 'contributor_id': '104905304684432860210', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocI1Cimoa-5bZcLnqiT0K_sQwT17aKUwyRmZDXCNEsehKuluBQ=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",5,Great place to work. Great location,a year ago,Infosys,Mumbai
"{'name': 'Vikash Dubey', 'link': 'https://www.google.com/maps/contrib/115034551622685916393?hl=en-US', 'contributor_id': '115034551622685916393', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW_qVhBWgQmq0chU7hr9gh33dU8_Em221ky8lqprkuxB79jmZTX=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 32, 'photos': 0}",4,Good organization and work life balance,a year ago,Infosys,Mumbai
"{'name': 'Ramesh Kedar', 'link': 'https://www.google.com/maps/contrib/103942044922953620093?hl=en-US', 'contributor_id': '103942044922953620093', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUxzZj3RxPFQyVbbKQQ3j89cO_uYMqRQnP1diQv6Ogu6fdwJpBq=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 18, 'photos': 23}",5,Dream comes true.....Love INFY,a year ago,Infosys,Mumbai
"{'name': 'OMKAR PATIL', 'link': 'https://www.google.com/maps/contrib/116641373007132948683?hl=en-US', 'contributor_id': '116641373007132948683', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKMZ9xicnNAiZmwAQ2vSNG1UPYQ2265yw9oCOkEUagF60rKy8U=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 33, 'photos': 16}",5,Good place to work,a year ago,Infosys,Mumbai
"{'name': '#pan_S 88', 'link': 'https://www.google.com/maps/contrib/106469732261287076547?hl=en-US', 'contributor_id': '106469732261287076547', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW8BTBnJnAgvC1hRew_78qhAcOyEBiK-ZuS4o3Wyz6Tah1_SLB2=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 7, 'photos': 23}",4,,2 years ago,Wipro,Mumbai
"{'name': 'Suryaprakash Reddy', 'link': 'https://www.google.com/maps/contrib/100072071007615356364?hl=en-US', 'contributor_id': '100072071007615356364', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWhoJjTPHqua6_kTog8YEHoEtuxxXRFAVTykDGxTuf7MhSdaRAqww=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 44, 'photos': 110}",5,,2 years ago,Wipro,Mumbai
"{'name': 'Sumedha Jori', 'link': 'https://www.google.com/maps/contrib/100602802085026179997?hl=en-US', 'contributor_id': '100602802085026179997', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW2_veNq5E504U7tIrRO0vAo2TbXCXbL53OMjxDtoiVsv8MAMjs=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 56, 'photos': 336}",5,,5 years ago,Wipro,Mumbai
"{'name': 'Khurram Rizvi', 'link': 'https://www.google.com/maps/contrib/118295126446077619456?hl=en-US', 'contributor_id': '118295126446077619456', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU5fRhrORq6FOGMVdIPj45gNqmpQcS3au1Uy9ZqZhLWoHrNbIRzpA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 53, 'photos': 136}",5,,5 years ago,Wipro,Mumbai
"{'name': 'Dmoto Vlogger', 'link': 'https://www.google.com/maps/contrib/106824787668896857654?hl=en-US', 'contributor_id': '106824787668896857654', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXNd57OWv28kkgbnagdwsoyGNrlIe38DR6S8LB4KVq8RbTOQReP=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 58, 'photos': 64}",5,"Good place, but it is a corporate house you go for interview & stuff. “it is not a service center ”",4 years ago,HCL,Mumbai
"{'name': 'Chinmay Gulhane', 'link': 'https://www.google.com/maps/contrib/109896522066402405522?hl=en-US', 'contributor_id': '109896522066402405522', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXzUO4JZ0kiTl5-6cq4D-7kC9jddOLqW2sFsvrWW3hKZFfavS-Q=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 66, 'photos': 58}",4,Nice And peaceful place to work....,5 years ago,HCL,Mumbai
"{'name': 'Harshit Raval', 'link': 'https://www.google.com/maps/contrib/111256574226155072899?hl=en-US', 'contributor_id': '111256574226155072899', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXfGz5IwVGDbqNn4DYVxHKB_otRIPaUjizeVP6-fOLHGm4Jv50Mpg=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 93, 'photos': 86}",4,"Had an interview for HCL on saturday at HCL comnet , facility is good, having good number of work station. Don't know much about culture and value of company but one thing is sure HRs are not so good. No cooperative at all.",5 years ago,HCL,Mumbai
"{'name': 'Noman Khan', 'link': 'https://www.google.com/maps/contrib/110719935651175595204?hl=en-US', 'contributor_id': '110719935651175595204', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJKQ3FfyfipanzUw1V9uTdH8-xsAVt5kRXb2ePEaTeDK5cqcg=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 18, 'photos': 0}",2,Place was awsum but I went for interview they said I cleared 2 round by didn't called back,6 years ago,HCL,Mumbai
