username,rating,text,date,company,city
"{'name': 'shabbir daruwala', 'link': 'https://www.google.com/maps/contrib/111659887774044657521?hl=en-US', 'contributor_id': '111659887774044657521', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVhGDq7tL_kXfc41JEqZAxG0_2yYtCfeE69CEQyIhVJWrVn54Q=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 85, 'photos': 5}",4,"New shop but it is hardworking person and good behaviour,ectronics item and repair available.",5 years ago,Infosys,Ahemdabad
"{'name': 'Rajendra Thapa', 'link': 'https://www.google.com/maps/contrib/101867877054956724842?hl=en-US', 'contributor_id': '101867877054956724842', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXmPE6t_BAtqCjvwm8HK40XA37opYsmFezuYCAri0fXVAiWDw2W=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 21, 'photos': 5}",5,"Good place for laptop accessories, repair",5 years ago,Infosys,Ahemdabad
"{'name': 'Saiyed Mohammad Zafar', 'link': 'https://www.google.com/maps/contrib/101133627576117916238?hl=en-US', 'contributor_id': '101133627576117916238', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXRWh2CZaXAZNA4KP1aZ47wlu_KmHyw4CpyzkWThczGESFwNgAJ=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 13, 'photos': 2}",5,Excellent services for mobile repairing....,7 years ago,Infosys,Ahemdabad
"{'name': 'Inayat Shaikh', 'link': 'https://www.google.com/maps/contrib/117263021079249804624?hl=en-US', 'contributor_id': '117263021079249804624', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVszDrxZuLH0WG2I00vRCxhRJtwoCufCMjzcnQXg8Gc1ArCqHK3=s120-c-rp-mo-br100', 'reviews': 31, 'photos': 0}",5,All mobile & Laptop services available,5 years ago,Infosys,Ahemdabad
"{'name': 'ahfaz khan', 'link': 'https://www.google.com/maps/contrib/113242932626787778944?hl=en-US', 'contributor_id': '113242932626787778944', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJkiHsR8IWfANVJUMCxJpmW2qtpQ6F3TbPqppXHZHOoa0yf3g=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,Most expensive the market prize,3 years ago,Infosys,Ahemdabad
"{'name': 'kkrian chaudhari', 'link': 'https://www.google.com/maps/contrib/106007941645150169164?hl=en-US', 'contributor_id': '106007941645150169164', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLQf6eAQTBOYxs_kjdofduhf-CQl7tNyn4nXPeL7axdpKOY7w=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 130, 'photos': 10}",2,Nice cooperative staff,7 years ago,Infosys,Ahemdabad
"{'name': 'BâBã', 'link': 'https://www.google.com/maps/contrib/109578787032994244367?hl=en-US', 'contributor_id': '109578787032994244367', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWop_4uTeXxc3rL_9Giz5SqScEAOYKeVhwwOU4auD5MMNiig--1=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 32, 'photos': 1}",3,Nice shop,6 years ago,Infosys,Ahemdabad
"{'name': 'heart beat', 'link': 'https://www.google.com/maps/contrib/105314610732196117441?hl=en-US', 'contributor_id': '105314610732196117441', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXmVTJWTe5O2PnO7UXAFppS41YaNdZVfHJYfXkMxbivguwF1mDA=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 0, 'photos': 0}",1,,3 years ago,Infosys,Ahemdabad
"{'name': 'Anil Dhanotiya', 'link': 'https://www.google.com/maps/contrib/101641785154376864020?hl=en-US', 'contributor_id': '101641785154376864020', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWZflH_jH53aRzCAYiuI1-qRjja8YbOUS9mC-y-lODiGESJbag=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 15, 'photos': 4}",5,Small and old but very good.,a month ago,Wipro,Ahemdabad
"{'name': 'Abhishek Tank', 'link': 'https://www.google.com/maps/contrib/117476866668384489914?hl=en-US', 'contributor_id': '117476866668384489914', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUsaUVvEERJGtG1C1kc4fRns9tE-Vv-u3WcEXzHQyKj0RX0kJs=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 15, 'photos': 0}",5,Best place to work in middle of city and its my company.,a day ago,Wipro,Ahemdabad
