username,rating,text,date,company,city
"{'name': 'Vinay Yadav', 'link': 'https://www.google.com/maps/contrib/108411458344158362681?hl=en-US', 'contributor_id': '108411458344158362681', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUWW2wfShFJS3_R3e27pvs9DyuWz1eYoBnN-mQ-O_lvHvawoB2a=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 165, 'photos': 1204}",4,Nice ambiance of the office.,5 years ago,TCS,Delhi
"{'name': 'JyoJo S', 'link': 'https://www.google.com/maps/contrib/113271016455740755996?hl=en-US', 'contributor_id': '113271016455740755996', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIoGoQsqjPSzrr_E7jVBuWi5J-6ctW1LfK2eZsWPEYPa1HmoASl=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 282, 'photos': 1020}",1,"Most of the products are cheap and I am clear will never buy their products, their cancellation policy is a farce. Do not buy their products",4 years ago,TCS,Delhi
"{'name': 'Rohit Mehra', 'link': 'https://www.google.com/maps/contrib/103593905531917134352?hl=en-US', 'contributor_id': '103593905531917134352', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVbc6tuS_7RRBBMeACMjI05mZW2nqtH8Cvkmchg_plvDYQA8c_Nkw=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 15, 'photos': 0}",4,"Good products but very bad sarvice

Thanku",2 years ago,TCS,Delhi
"{'name': 'ankit j', 'link': 'https://www.google.com/maps/contrib/113252543573289412710?hl=en-US', 'contributor_id': '113252543573289412710', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKzfTNyPIzpqJf6GZPID2wAHi9TYRz_OOPyOiKIsz5UR8tRnw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 44, 'photos': 0}",2,Not a good produxt,5 years ago,TCS,Delhi
"{'name': 'Kapil Dev', 'link': 'https://www.google.com/maps/contrib/114685949792452844018?hl=en-US', 'contributor_id': '114685949792452844018', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXf-CMsBfzzFlqsE71KmObfR_01WAV2vGRMpNYWd8HKNs_nHv_t=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 261, 'photos': 224}",1,Office is closed last 2 years.,3 years ago,TCS,Delhi
"{'name': 'Sourabh Chawdhary', 'link': 'https://www.google.com/maps/contrib/107338477345606427760?hl=en-US', 'contributor_id': '107338477345606427760', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUGr8c_Ge9bCaTlmIrkBmc4Jc5Ns91P-iCYcw3yq2YLghddjDkMXg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 29, 'photos': 14}",5,Best Place To Work,7 years ago,TCS,Delhi
"{'name': 'Deepak kumar', 'link': 'https://www.google.com/maps/contrib/114381124497643561933?hl=en-US', 'contributor_id': '114381124497643561933', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWEOSKADYmB5CoTrh1kse6X-5o0sJOdjAEXx6347CyS8TV4qf89=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 123, 'photos': 28}",4,Nice company to work with,6 years ago,TCS,Delhi
"{'name': 'raj sharma', 'link': 'https://www.google.com/maps/contrib/107493223599691680237?hl=en-US', 'contributor_id': '107493223599691680237', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWOU2PyOsYs5P8tqbFX0_CwgVe5PfziTzFAMJkSevcxdKzqaQpP=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 17, 'photos': 0}",4,Did not expirienc,3 years ago,TCS,Delhi
"{'name': 'Vishnu Usha', 'link': 'https://www.google.com/maps/contrib/103732511027120165483?hl=en-US', 'contributor_id': '103732511027120165483', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWeKdypRf_UrgyiQeRgAin8cz_HMYBSozTHRda0toQckTMwSjI4=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 91, 'photos': 126}",5,Nice ambience with good office space. It's situated on the 7th floor of Tower B and nearest metro is Phase 3.,2 years ago,Infosys,Delhi
"{'name': 'Prince Mishra', 'link': 'https://www.google.com/maps/contrib/116018830175316177279?hl=en-US', 'contributor_id': '116018830175316177279', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKdDwLjt176iCyB-L1uznDLr2sE5bAwZFvI96SWrVBA8VnqLg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 16, 'photos': 7}",4,Nice place to visit. Hope to get internship there in some years. One of India's nameful company. If you visit some places like this You will see modern India,6 years ago,Infosys,Delhi
