username,rating,text,date,company,city
"{'name': 'Shubham Tyagi', 'link': 'https://www.google.com/maps/contrib/106201802701637105016?hl=en-US', 'contributor_id': '106201802701637105016', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUbxd4yoGNnjjnW1TLX4znHwciwG7d9pMzREnpQwa8c9It_s_Zq=s120-c-rp-mo-br100', 'reviews': 10, 'photos': 0}",1,Worst management mental torture you may remember for your life,3 weeks ago,Tech Mahindra,Noida
"{'name': 'Ansu', 'link': 'https://www.google.com/maps/contrib/101601359348916385324?hl=en-US', 'contributor_id': '101601359348916385324', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKGbsVfTzEsp-3BzViXNVJyTwpeBZcHGi8pBRr_SIt5hXYF3Q=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,"I am coming today for interview and my experience is very bad HR and other team don't care about your time they taking almost 5 hours for second round after 1st. They will never ask you for tea or lunch break and now I am getting frustrated 🥴

If you want to come here for interview first I recommend you please don't come

Still if you want to come so please forget your house becouse you can't go back to home before 7 - 8 hours with headache.",11 months ago,Tech Mahindra,Noida
"{'name': 'Shiva Ji', 'link': 'https://www.google.com/maps/contrib/117531306666503085287?hl=en-US', 'contributor_id': '117531306666503085287', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW4UBVz7roch-ykj5XJ3mCKEZW5sXfddiRBcjzwlDgrFKDedzmEBQ=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 4, 'photos': 0}",1,"Most unhygienic company ever.Warshrooms are dirty just like Public toilets.I have seen it in my career.After recruitment there is no responsibility of trainer and HR is also irresponsible.No career. Worst then ever.
Experienced guys please don't spoil your experience after joining Tech M.",a year ago,Tech Mahindra,Noida
"{'name': 'PAVITHRA VENKATESAN', 'link': 'https://www.google.com/maps/contrib/107374666331869546000?hl=en-US', 'contributor_id': '107374666331869546000', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXsLQ3wHJY5DK4oNyDYv42RnGUciVOoT10NjV11ua9dlbTomD4=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,If anyone calls from this company  for work from home work dont join they are cheating and doing fraud work. Getting work from us and not giving salary. cheating and getting money from us.So my request better don't join.,3 weeks ago,Capgemini,Noida
"{'name': 'buy po', 'link': 'https://www.google.com/maps/contrib/115822820577548796977?hl=en-US', 'contributor_id': '115822820577548796977', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJz4jlqyv-8d7BEYTIt1MieEvOyt9uycLHzd682Vz7SAafL=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,"Worst experience as fresher filled form in dec-2021 for offcampus drive, exam on jan-2022, interview on, loi in march-2022, said joining will be after completion of adapt, adapt unpaid training july-oct, mean while girls started getting joining in middle of adapt, after completing adapt successfully they mailed me further communication will be in month of jan-feb 2023, no communication recieved, mailed them, they said joining will be in may-jun 2023,..i waited till may, now they say loi is not an offer letter, and joining can be in any time during FY-2023,... have been waiting for more than 1.5 years its not that i have dont have good marks in academics, i have distinction throughout my academics, its just i dont have a female's body.... Just a tip, apply here as fresher only if u r female or have hell of patience to wait for 5-6 year for joining letter..",a year ago,Capgemini,Noida
"{'name': 'Bhartiya Bawarchi', 'link': 'https://www.google.com/maps/contrib/104642149001092637399?hl=en-US', 'contributor_id': '104642149001092637399', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV2BAvPGXSjUYh6KjheKDx6xGHzaXyGiboXcUxI3CIw0VLGRM4=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,Do not join this company. Misbehaving management act as a owner of the company. Low salary. Poor shift timings that can lead to diseases in the long run. And last thing do not expect for growth. Rest upon you.,2 years ago,Capgemini,Noida
"{'name': 'Satyander Singh', 'link': 'https://www.google.com/maps/contrib/113663622507423314097?hl=en-US', 'contributor_id': '113663622507423314097', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVguwpIEEYcjGNW7YIJ7Yuvi0uKzH_H2_53r61vVXtUi6He9m8ZeQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 6, 'photos': 142}",1,This should be done before the offer letter is given or after 3 months or you have to keep it on the bench using more background verification. This behavior of yours is not right. So I have tried rejecting this company all my life. You show little respect and do this to someone's job.,11 months ago,Cognizant,Noida
"{'name': 'Amit Mithas', 'link': 'https://www.google.com/maps/contrib/109211136816365614635?hl=en-US', 'contributor_id': '109211136816365614635', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWmM2MvsWXLFuOCDH4cRxvSKc-Jx9W7PnSeDRd8RpQHRu25v2w=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 13, 'photos': 0}",1,Oracle has a good brand name. But one should be very cautious before joining this company. Your job will not be going last long in this. They have hire n fire policy. Most of my colleagues are fired secretly from this company in a span of 3 to 4 years. Please avoid joining this company if you have options.,a year ago,Oracle,Noida
"{'name': 'Aviral Prakash', 'link': 'https://www.google.com/maps/contrib/102815950293813706199?hl=en-US', 'contributor_id': '102815950293813706199', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjURVreE1sHqgp022EiXB7-TyIB60-56uAR2mILnKQH5dIONJgD9=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 56, 'photos': 302}",2,"The ambience of the place is awesome with amazing infrastructure. The TCS GG-5 office in tower-C building 6 3rd floor. If GG-5 is not your base location and you have booked 2office there then also you won't be given access to work, no access to wifi or charging ports. Also the reception staff was a bit rude and few other staff were quite unprofessional. I went there for Id card printing and had to wait for it for over 5 hours cause their machines weren't functional. The cafeteria sucked but there is a dhaba(smoking spot) nearby and also there is a huge crunch at the parking lot. GG-7 is much better than GG-5 in terms of facilities.",a year ago,TCS,Noida
"{'name': 'Mohit Kumar', 'link': 'https://www.google.com/maps/contrib/116572797014279034080?hl=en-US', 'contributor_id': '116572797014279034080', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKpSWmETjFPK8zxUIM9ux_lbSiZgYPGN4uHTrO3oV3GcrQD_g=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 1, 'photos': 0}",2,Totaly waste of time to join this company have no growth also will not provide any kind of benefits even they said please refer the employee we will provide you some refferal ammount but they did not provide after employee selection fraud not committed i have worked here only 1 year do not recommend any one.,2 years ago,Capgemini,Noida
