username,rating,text,date,company,city
"{'name': 'sudhanva s', 'link': 'https://www.google.com/maps/contrib/109358620447457324522?hl=en-US', 'contributor_id': '109358620447457324522', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVgy9RmotyOkhrV960h1QH_t-frkOidmoE6JSpy4d6UHKS8iIYMAQ=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 82, 'photos': 2475}",5,"The campus is very huge and good atmosphere to work. You feel so fresh to work here everyday cause of the green environment throughout the campus.
You have plenty of food options as well to have.
India’s second largest company and employee ‘s first favorite company. Nice workplace",a month ago,Infosys,Bengaluru
"{'name': 'Thillaiyadi Family', 'link': 'https://www.google.com/maps/contrib/104244068688273327793?hl=en-US', 'contributor_id': '104244068688273327793', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXCoQx782dnz3msMn9NsyULCkRWwYRprxIjSHZKkDnYPL1RFa4=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 6, 'photos': 13}",5,"The campus is truly impressive, featuring over 50 buildings with excellent infrastructure. It offers a wide range of facilities, including well-maintained gardens 🌳, a swimming pool 🏊, cycling paths 🚴, a hospital 🏥, a mini-market 🛒, and a play area 🛝. There’s also a gym 🏋️ and a library, making it a well-rounded environment for both relaxation and activity.

Major food vendors like Domino's Pizza 🍕 and Subway 👑 add convenience to the dining options. The monthly events and festival celebrations 🎉 contribute to a vibrant and lively atmosphere, making it a great place to be. The maintenance efforts are commendable, ensuring a clean and enjoyable environment for everyone. Highly recommend!",3 months ago,Infosys,Bengaluru
"{'name': 'Ashish Krishna', 'link': 'https://www.google.com/maps/contrib/101052484698174266881?hl=en-US', 'contributor_id': '101052484698174266881', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUq63I8iYIFPcD29WcO9qU79bsWtwqTpNPQAJ2C0saOqzAqeszR=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 164, 'photos': 602}",5,"The campus is impressive, with over 50 buildings featuring excellent infrastructure. It offers a variety of facilities, including well-maintained gardens 🌳, a swimming pool 🏊, cycling paths 🚴, a hospital 🏥, a mini-market 🛒, and a play area 🛝, Gym 🏋️🏋️‍♀️Library.... Major food vendors like Domino's Pizza 🍕 and Sub Way 👑 are also available. Monthly events and festival celebrations 🎉 add to the vibrant and lively atmosphere, making it a great place to be. The maintenance efforts are commendable, ensuring a clean and enjoyable environment for everyone.",4 months ago,Infosys,Bengaluru
"{'name': 'Subodh Shukre', 'link': 'https://www.google.com/maps/contrib/111530256254853950770?hl=en-US', 'contributor_id': '111530256254853950770', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXf1inK4PybeUrErHPb_BmO9KilwDDYKtJblGwuy--uGKepyjb_DQ=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 581, 'photos': 1293}",5,Best campus. Nicely maintained. Cycles are kept for an internal commute. Multiple food courts are there. The parking building is entirely separate. Visit with family members is allowed on Saturdays till 2 pm.,10 months ago,Infosys,Bengaluru
"{'name': 'Atmesh Sonawane', 'link': 'https://www.google.com/maps/contrib/117446482860240264538?hl=en-US', 'contributor_id': '117446482860240264538', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWyyDX0kxd3lyRWBNSnVe9me9o0fisZGL3ElwooiM2xqv-_2IH78g=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 81, 'photos': 149}",5,I felt like I was working in a foreign company.  Its premise is very beautiful and you can have good quality food in the food courts.,6 months ago,Infosys,Bengaluru
"{'name': 'ALEENA M M', 'link': 'https://www.google.com/maps/contrib/111402472992067803697?hl=en-US', 'contributor_id': '111402472992067803697', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWwIafR2vSxDuB4ACp3Xwlnr8kHJcX3IEofHjVECrf4e9Qi54qr=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 5, 'photos': 4}",5,Very beautiful place in Bangalore. we can reduce work pressure from office atmosphere itself.,4 months ago,Infosys,Bengaluru
"{'name': 'Pramod Kadiya', 'link': 'https://www.google.com/maps/contrib/113056339229392431206?hl=en-US', 'contributor_id': '113056339229392431206', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXLrdxEHNsynIkqV6i9Pss_eldz0PyAe9GxoFulkgyxJusE-XYN=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 204, 'photos': 499}",5,"Infosys office in Electronic City, Bangalore, is an enormous and impressive place. I visited over the weekend, and it took almost the entire day to explore the area. The campus is vast, with many facilities and modern infrastructure. It's definitely worth a visit if you're interested in seeing one of the largest tech hubs in India.",2 months ago,Infosys,Bengaluru
"{'name': 'Raghavendra Devi', 'link': 'https://www.google.com/maps/contrib/110548935826840194280?hl=en-US', 'contributor_id': '110548935826840194280', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUrAYicsEN6gEpCfTYqxF0Vhn4XxurLAcEamrH_x-2l3c9Xb9ouag=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 72, 'photos': 22}",4,"Wonderful campus, employees are a big lucky for working in these kind of office campus. Very nature friendly campus. I loved it.",3 days ago,Infosys,Bengaluru
"{'name': 'Ramya Ravi', 'link': 'https://www.google.com/maps/contrib/111383520351774211866?hl=en-US', 'contributor_id': '111383520351774211866', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVFNMWGCacXk-pDZmVfldGCjIsA5j9YmhUkv3YsmoQWv9MDrUi_=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 340, 'photos': 1449}",3,"It's a Wipro branch, located at Ecospace - Belandur. Most of the banking projects are here in this location. Good place to work but not better than sarjapur or Electronics City Wipro office but better than Whitefield office of Wipro",4 years ago,Wipro,Bengaluru
"{'name': 'PAVANKUMAR CSK', 'link': 'https://www.google.com/maps/contrib/105112657091057381553?hl=en-US', 'contributor_id': '105112657091057381553', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUsP6oZVvXXAYX1cS3eiWLkbbqFVL4GdXTDUY_Ag_wEUVMDjs3zMg=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 50, 'photos': 148}",5,"It's a Wipro branch, located at Ecospace - Belandur. Most of the banking projects(RBS, CITI Bank, ANZ, ) are here in this location.",6 years ago,Wipro,Bengaluru
