username,rating,text,date,company,city
"{'name': 'P. Sunil Patra', 'link': 'https://www.google.com/maps/contrib/104427010825863871127?hl=en-US', 'contributor_id': '104427010825863871127', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWsCt5mPGAbuG9gh3m9rP-E9SEjNnC7xCbxkaqZIECo-AS0xvqP=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 284, 'photos': 44}",4,Outside Place is hectic since Travels 🚌 are Parking for Traveller.,3 months ago,TCS,Pune
"{'name': 'Aman Jain', 'link': 'https://www.google.com/maps/contrib/102030088829074755036?hl=en-US', 'contributor_id': '102030088829074755036', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUmXGz1qlpPWFNj-fGQlAIzFnY_7shh4LGrrThktKmuUbFpfzy6uw=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 132, 'photos': 480}",5,Spacious | Best Rules | Best Practices | Lovable Environment and love to be here first time | watching to be here for more professional visits.,6 years ago,TCS,Pune
"{'name': 'Shweta Ninawe Nikhar', 'link': 'https://www.google.com/maps/contrib/116633262094881081645?hl=en-US', 'contributor_id': '116633262094881081645', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWAMmPUpiGOwJnAD7Utjiu3zQpKJvJg-_Yv40vjqSm_C0W8uGvkyA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 98, 'photos': 195}",4,Well I was here for interview....i didn't know howz the place is from inside as we were seated in the parking lot only,8 months ago,TCS,Pune
"{'name': 'Santoshh Shinde', 'link': 'https://www.google.com/maps/contrib/107515759081796655265?hl=en-US', 'contributor_id': '107515759081796655265', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXhG1YrnjBfnt4Hrq3IBUTzOyRXviRLxqbVg5ZfyAXxIq11pXP0=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 65, 'photos': 47}",5,"This is peaceful place ever, even this organisation allows cat to stay in their campus they also feeding them. Best IT company",a year ago,TCS,Pune
"{'name': 'Swapnil S', 'link': 'https://www.google.com/maps/contrib/113205239047496232458?hl=en-US', 'contributor_id': '113205239047496232458', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJFRS2ktzX7HffmTR5xdSdw6pptWziqG9GAVsB97HaFtVyPzw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 41, 'photos': 2}",1,Third class juice centre available outside,5 months ago,TCS,Pune
"{'name': 'Anirban Ghosh', 'link': 'https://www.google.com/maps/contrib/108423035662245161885?hl=en-US', 'contributor_id': '108423035662245161885', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVxHEgEuSf1p0yB5JGL-FVBMkUVDWI-WHr9KplmC91dLxPhrZCr=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 30, 'photos': 62}",4,Nice and small only 7 floor that is a great one if you like to work in small places and not that big most probably best place for you to work in Pune better than Sahyadri Park both Railway and airport are very close from here,6 years ago,TCS,Pune
"{'name': 'Chaitanya Gajbhiye', 'link': 'https://www.google.com/maps/contrib/116389957606467971653?hl=en-US', 'contributor_id': '116389957606467971653', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXEiginGFp2EkUtqT7tWkGiy0-PGamxx6yX8TKXxrwdXSsBsWtX-Q=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 141, 'photos': 350}",4,"Though it's small office compare to Sahyadri park but good thing about it is placed in Prime location of the city. It is accessible, easily notable and having less traffic than Magarpatta and Hinjewadi. Beautiful infrastructure and design.",7 years ago,TCS,Pune
"{'name': 'Hari Kishan Poluru', 'link': 'https://www.google.com/maps/contrib/108229015509815851829?hl=en-US', 'contributor_id': '108229015509815851829', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVVYSvHk_7JrEfn-1jUPYwwurzQsAi736BaI1EJvnLjbXc2E3wo=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 52, 'photos': 55}",5,"Campus is little rustic... But fine.. Friendly.. And easy access. No good and quality food available in Cafeteria. You should carry your food, Tea Vup and water bottle.",6 years ago,TCS,Pune
"{'name': 'Omkar Raste', 'link': 'https://www.google.com/maps/contrib/114767002813984926010?hl=en-US', 'contributor_id': '114767002813984926010', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXOwGOQUTdBFn_5FiOaSGrrfBPYBZ5ssYDO2Yps4BBXURJvZQ39=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 5, 'photos': 0}",5,Best It Company in India ❤️,6 months ago,Wipro,Pune
"{'name': 'Mayursinh Raulji-942', 'link': 'https://www.google.com/maps/contrib/102816822796672895199?hl=en-US', 'contributor_id': '102816822796672895199', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWOqxf618mztcbC8CHYD5VrGNOcTVZ378NAgVgWVlEQPOq2Vf4=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 28, 'photos': 94}",5,Good campus and green campus,a year ago,Wipro,Pune
"{'name': 'Maroti Bhandare', 'link': 'https://www.google.com/maps/contrib/105919818876226646467?hl=en-US', 'contributor_id': '105919818876226646467', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXBRA77oTq7_H6hlsHw47AKhiR27t4x5ANModQis4UnWKOjFA_P=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 2}",5,,3 months ago,Wipro,Pune
"{'name': 'Navanath Gaikwad', 'link': 'https://www.google.com/maps/contrib/102985269406014772349?hl=en-US', 'contributor_id': '102985269406014772349', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX7QfTm681T65JX1JNdZJ11o3YgK6WQxdYzbfyMuA57WbNXBKWk=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 1}",4,,8 months ago,Wipro,Pune
"{'name': 'Bhavesh Zope', 'link': 'https://www.google.com/maps/contrib/100987179023681389665?hl=en-US', 'contributor_id': '100987179023681389665', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLo2-xffoMj-s7lpGeaAkJlASUMFXHLrSn4LHU5MIjVZgnmcA=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 9, 'photos': 2}",5,,a year ago,Wipro,Pune
"{'name': 'PRITAM G', 'link': 'https://www.google.com/maps/contrib/114991529016527938485?hl=en-US', 'contributor_id': '114991529016527938485', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVlphXEMLk5mqKYM6iEXeL1kDgqsQpBozYXJDaO4KWn1iDUPFoU=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 38, 'photos': 36}",1,"HCL Company not available on this location,
If you are going to visit for HCL please don't go here!
The new location is Embassy Tech Zone from Wipro chauk bus stop.",3 months ago,HCL,Pune
"{'name': 'Gobinda Paul', 'link': 'https://www.google.com/maps/contrib/111768198427084549824?hl=en-US', 'contributor_id': '111768198427084549824', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXWVeP6GvbKjRMNxCXRYtq42K5VmQ0iiEbbHqtmSrlRd25k41Fx=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 49, 'photos': 30}",5,Good company.,a month ago,HCL,Pune
"{'name': 'Shravan Tarange', 'link': 'https://www.google.com/maps/contrib/108122170462823925424?hl=en-US', 'contributor_id': '108122170462823925424', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUSnxk7-tBgS7hd3c74XyzgxrhL0JEynRUOvCM9mHBF-39vK4cTqg=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 5, 'photos': 5}",4,,3 years ago,HCL,Pune
"{'name': 'JSparkles', 'link': 'https://www.google.com/maps/contrib/105620836802500963981?hl=en-US', 'contributor_id': '105620836802500963981', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWJsVNiYX9M5jE-iB9-1sfd3_5ZFKgDyESXHrv_Go3YASM3isAI=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 86, 'photos': 519}",5,Office Location is Beautiful and Cool. But it’s too inside the Hinjewadi. Overall I love the campus and the climate there.,3 months ago,Capgemini,Pune
"{'name': 'Prakash M', 'link': 'https://www.google.com/maps/contrib/105648722022600535875?hl=en-US', 'contributor_id': '105648722022600535875', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVEAdWYZVoGHccQ87GBR36oolLE3w6a5OzKQxUIqECAlyWQ9u_S=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 221, 'photos': 431}",5,"Capgemini is located at Phase 3 Hinjewadi
it's a nice campus.
Better to reach before 10 AM else there will be huge traffic",4 months ago,Capgemini,Pune
