username,rating,text,date,city,company,ct
"{'name': 'THUMMAR PIYUSH', 'link': 'https://www.google.com/maps/contrib/104227770972993979682?hl=en-US', 'contributor_id': '104227770972993979682', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXKE49k5Zlzl48_kFZClbc7YUwSdIrusiggxXPeettBTGIQkLU=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 53, 'photos': 425}",5.0,"It is an opportunity for me to work with the TR. I had wonderful infrastructure and so much supportive staff. The people here are always ready to help when you stuck somewhere. I am doing my internship here. Here, at TR, people celebrate many festivals and events.",5 years ago,Ahmehdabad,Thomson Reuters,
"{'name': 'H', 'link': 'https://www.google.com/maps/contrib/115343754683535956831?hl=en-US', 'contributor_id': '115343754683535956831', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW-cl1EOeQqHNB7LwlAC9_TGtzHe-9-qV5SZzpbqr1VgFs60Sjh=s120-c-rp-mo-br100', 'reviews': 9, 'photos': 0}",5.0,"Thomson Reuters is one of the BEST companies. It is totally an EMPLOYEE-ORIENTED company, and all the policies (example leave policy, medical policy) are in the best interest of employee. I would be interested to work again in TR one day. I have worked in TR for around 2 years, but had to resign due to personal reasons. May they open an office in Punjab, India also. ~6106091",3 years ago,Ahmehdabad,Thomson Reuters,
"{'name': 'Gaurav Sharma', 'link': 'https://www.google.com/maps/contrib/100356322819129667512?hl=en-US', 'contributor_id': '100356322819129667512', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWGi9en2qJ17d-m1qc2MjwQaK80z4GkU9um-TXhW6jfHf1fnyE2OQ=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 45, 'photos': 172}",5.0,"One of the bigger companies in Ahmedabad. Great work environment, good work place, best software teams creating software magics.
Must join.",2 years ago,Ahmehdabad,Thomson Reuters,
"{'name': 'Aksha Bagban', 'link': 'https://www.google.com/maps/contrib/112001217090608621297?hl=en-US', 'contributor_id': '112001217090608621297', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocI2yQwhZV-_MupIxTByTMGLNTL53fPkXIHUhlQ_LJThoj02jQ=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,Today i visit the palce. I was very happy to visit this place.  I love the all the staffmembers they all helped us. They all are very sweet and they helped us in practicle. I am glam to visit the place.,7 years ago,Ahmehdabad,Thomson Reuters,
"{'name': 'Arya Suthar', 'link': 'https://www.google.com/maps/contrib/106889688797229038521?hl=en-US', 'contributor_id': '106889688797229038521', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWBOyw-0N-SeiaAyiJB536svHY41ssmNBOpOkglRX2FtZgOWpA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 168, 'photos': 2}",4.0,Nice place As like corporate office are,a year ago,Ahmehdabad,Thomson Reuters,
"{'name': 'Jigar Vora', 'link': 'https://www.google.com/maps/contrib/117294272328866781894?hl=en-US', 'contributor_id': '117294272328866781894', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWGAtM2d2dWvPfNC9Mas38DLN_-AHqamTILgV7viHlAxz2PVI_v=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 51, 'photos': 33}",5.0,It truly is a great place to work!,a year ago,Ahmehdabad,Thomson Reuters,
"{'name': 'Mahavirsinh Padhiyar', 'link': 'https://www.google.com/maps/contrib/106371671056478700065?hl=en-US', 'contributor_id': '106371671056478700065', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWq7_2yet6FMbgFrWDs-vumFlKDvHIXQvblaEoXRCflLzWfIlCj=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 64, 'photos': 101}",5.0,One of the best product based company in Ahmedabad,a year ago,Ahmehdabad,Thomson Reuters,
"{'name': 'DARSHIL SHAH', 'link': 'https://www.google.com/maps/contrib/113815993596441897721?hl=en-US', 'contributor_id': '113815993596441897721', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKvLZ5iFW-om9R7Zq-zxO7vM9ZvZAFzGJ6zvt-AUUNGdtP8zA=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 0}",5.0,Good place to work,2 years ago,Ahmehdabad,Thomson Reuters,
"{'name': 'Bhavin Shah', 'link': 'https://www.google.com/maps/contrib/115862488986874946132?hl=en-US', 'contributor_id': '115862488986874946132', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKdeBi_FRf3yykg_d-zmS8EfK_NC06997M7ejoqVD5QdkqKd5s=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"""We have been using Webking Solutions' G Suite admin account management services, and their expertise has been exceptional. They are reliable, professional, and quick to resolve any issues. Highly recommend them as a Google Workspace Authorized Partner!""",a week ago,Ahmehdabad,Google,
"{'name': 'Growup Business Solution', 'link': 'https://www.google.com/maps/contrib/118106299588710943308?hl=en-US', 'contributor_id': '118106299588710943308', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIHXbRm46BOmyNYBnSTV0MBjcJG0MOa8XmXGiNFLqQvM8FWx5s=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 0}",5.0,"I recently switched to Webking Solutions for my email solutions, and I couldn't be happier! From the start, their team was incredibly professional and responsive, making the setup process seamless.
Customer support is outstanding! They’re available 24/7 and always provide quick, helpful solutions to any issues I’ve faced.
If you’re looking for a reliable and efficient email solution, I highly recommend Webking Solutions. It has truly transformed the way we communicate and manage our emails!
Thank you, Webking Solutions, for such a fantastic service!",4 months ago,Ahmehdabad,Google,
