company,rating,text,date,city,contributor_id,reviews,sentiment_score,sentiment_label
Thomson Reuters,5,"It is an opportunity for me to work with the TR. I had wonderful infrastructure and so much supportive staff. The people here are always ready to help when you stuck somewhere. I am doing my internship here. Here, at TR, people celebrate many festivals and events.",5 years ago,Ahmehdabad,104227770972993979682,53,0.9544,positive
Thomson Reuters,5,"Thomson Reuters is one of the BEST companies. It is totally an EMPLOYEE-ORIENTED company, and all the policies (example leave policy, medical policy) are in the best interest of employee. I would be interested to work again in TR one day. I have worked in TR for around 2 years, but had to resign due to personal reasons. May they open an office in Punjab, India also. ~6106091",3 years ago,Ahmehdabad,115343754683535956831,9,0.6389,positive
Thomson Reuters,5,"One of the bigger companies in Ahmedabad. Great work environment, good work place, best software teams creating software magics.
Must join.",2 years ago,Ahmehdabad,100356322819129667512,45,0.9393,positive
Thomson Reuters,5,Today i visit the palce. I was very happy to visit this place.  I love the all the staffmembers they all helped us. They all are very sweet and they helped us in practicle. I am glam to visit the place.,7 years ago,Ahmehdabad,112001217090608621297,1,0.9097,positive
Thomson Reuters,4,Nice place As like corporate office are,a year ago,Ahmehdabad,106889688797229038521,168,0.6486,positive
Thomson Reuters,5,It truly is a great place to work!,a year ago,Ahmehdabad,117294272328866781894,51,0.807,positive
Thomson Reuters,5,One of the best product based company in Ahmedabad,a year ago,Ahmehdabad,106371671056478700065,64,0.6369,positive
Thomson Reuters,5,Good place to work,2 years ago,Ahmehdabad,113815993596441897721,5,0.4404,positive
Google,5,"""We have been using Webking Solutions' G Suite admin account management services, and their expertise has been exceptional. They are reliable, professional, and quick to resolve any issues. Highly recommend them as a Google Workspace Authorized Partner!""",a week ago,Ahmehdabad,115862488986874946132,1,0.7495,positive
Google,5,"I recently switched to Webking Solutions for my email solutions, and I couldn't be happier! From the start, their team was incredibly professional and responsive, making the setup process seamless.
Customer support is outstanding! They’re available 24/7 and always provide quick, helpful solutions to any issues I’ve faced.
If you’re looking for a reliable and efficient email solution, I highly recommend Webking Solutions. It has truly transformed the way we communicate and manage our emails!
Thank you, Webking Solutions, for such a fantastic service!",4 months ago,Ahmehdabad,118106299588710943308,1,0.9849,positive
Google,5,"I wanted to extend my sincere thanks for the swift and effective resolution of our recent email delivery issue. Your prompt and professional support was instrumental in addressing the problem and restoring our communication capabilities.

We truly appreciate your dedication and responsiveness in handling this matter. Your assistance has significantly contributed to minimizing our operational disruptions, and we are grateful for your help.",5 months ago,Ahmehdabad,116927603296597270710,1,0.9658,positive
Google,5,"""Webking Solutions has been an absolute pleasure to work with! The team is incredibly supportive and always responds promptly to any queries. Their professionalism shines through in every interaction, making the entire process smooth and efficient.
Highly recommend their services!""",3 months ago,Ahmehdabad,109357254158172701219,2,0.9197,positive
Google,5,Very professional team and outstanding service with quick turnaround support at any given point of time. A very reliable company. I would recommend Webking any time. Bhavesh specifically really leads the organisation to its best.,4 months ago,Ahmehdabad,107916161111881445795,7,0.9246,positive
Google,5,"Thank you So much for your response.
Best service always.  Thanks ones again.",a week ago,Ahmehdabad,107448716200252716087,6,0.8625,positive
Google,5,Excellent and professional service. Have in-depth subject knowledge and ever ready to support.,4 months ago,Ahmehdabad,104199302676436747694,5,0.836,positive
Google,4,"Service: New Email ID Creation.
Provided cooperative and prompt service.

Thank you, Webking Solutions.",5 months ago,Ahmehdabad,103247564969400182222,2,0.6486,positive
Sophos,5,Best Infrastructure nd nice company to start your Carrier and One of the best networking compny of Gujarat....!!!,5 years ago,Ahmehdabad,105162669157861751998,51,0.9198,positive
Sophos,5,"Great IT company with best work culture and employees. Architecture and Interior is awesome. One can get knowledge from there. This is having it's own other houses at other different locations in India. It's having parking facility. Large conference hall, reception area. It's centrally air conditioning building with fire safety.",5 years ago,Ahmehdabad,114720534671127010471,35,0.93,positive
Sophos,4,New Respected Security Company which have u keep safe....,7 years ago,Ahmehdabad,104083300577414972923,289,0.6705,positive
Sophos,5,"one of the best company in Gujarat and it will set for Entry and middle and upper level of employee.
flexible hours that was good point .",6 years ago,Ahmehdabad,108487878797656138612,148,0.8402,positive
Sophos,5,"This building belongs to Sophos India Pvt. ltd. It was inaugurated on 14th Feb, 2015, when the company acquired a local company called Cyberoam.
The building is equipped with world class IT infrastructure. It produces one of the world's best UTM known as Sophos firewall.",8 years ago,Ahmehdabad,101414773185901759083,155,0.6369,positive
Sophos,5,"One of the best companies to work with in Ahmedabad. Transparent processes, great work culture, amazing vision!",8 years ago,Ahmehdabad,113486815534142406949,26,0.937,positive
Sophos,5,Very nice company for work. Good culture & environment with best IT infrastructure.,8 years ago,Ahmehdabad,109847260725884256601,5,0.8805,positive
Sophos,5,Security made simple with a great variety of product. One of the best infrastructure in the town.,6 years ago,Ahmehdabad,103444895563602554605,117,0.8934,positive
Microsoft,1,Wrong Number,3 months ago,Ahmehdabad,100377315918551051218,2,-0.4215,negative
Bacancy,1,"I am a full stack developer with 8 years of experience.

I recently participated in Bacancy selection process for the position of Senior Laravel Developer. I took an online test on 4th July 2024, and was subsequently selected for further technical rounds. On 8th July, I successfully cleared the first technical round, and on 10th July, I passed the second technical round. Following this, on 11th July 2024, during the third HR round, I was selected for the position of Senior Laravel Developer at Bacancy.

During my discussion with your HR team member, Namrata Bandhaniya, we agreed upon my Expected CTC per annum based on my skills and interview performance. I accepted this offer.

On July 17th, I received an offer letter from Pulkit Phatale with a CTC significantly lower than the previously discussed amount.

On July 18th, I discussed this issue with Pulkit Phatale and Amit, who informed me that there had been a miscommunication with the HR team. They assured me that my CTC would be increased, and a revised offer letter would be sent. However, I did not receive any response that day. On July 19th, when I inquired about the update, I was informed that the offer would not be increased.

This situation reflects significant time wasted by the management team and bacancy company with the candidate. I would advise against considering opportunities with this Bacancy company.",6 months ago,Ahmehdabad,117601114959618270523,1,0.8885,positive
Bacancy,5,Great place to work in Ahmedabad. Its like best career growth. U will get lots of opportunities here.,a year ago,Ahmehdabad,107409950267166393599,34,0.9432,positive
Bacancy,5,"Working in cultured and challenging environment where you would expect good work life balance and work satisfaction.
The place where you can become asset for the organization.
Management is giving equal priority and values to both customers and employees.
I really appreciate the way founders are taking the lead to provide transparency, listen employees & encourage all.
Every possible things are being discussed in company meetings for growth of everyone.
There is no management levels, you can reach to anyone anytime for your problems or needs.
Everyone is focusing on satisfying the client as much as possible and at the same time you grow yourself.
Great place to give your quality work and time.",3 years ago,Ahmehdabad,100154933274349150544,1,0.9756,positive
Bacancy,5,"Overall a great experience to work with bacancy. The points that I personally liked the most are :
- Work life balance
- Helpful colleagues
-Company culture (Work From Anywhere)
- Growth and opportunities

There are more points like learning process for career growth and Feedback for evaluate to do better in industry.
Personally recommended to all who want to work with a good organization.",2 years ago,Ahmehdabad,111822957941029074863,1,0.978,positive
Bacancy,5,"The work culture here is collaborative, supportive, and growth-oriented.",3 weeks ago,Ahmehdabad,104272182005011300886,1,0.296,positive
Bacancy,5,"I am working in Bacancy for the last 4 years full time. One of the best the place to work at. Management is extremely supportive and my colleagues are great mentors as well as wonderful friends. You can tell that they truly care about the happiness of their employees.

It's a really relaxed and calm environment. I don't dread coming to work on Monday mornings and the managers are extremely patient and understanding. Lots of opportunities to grow,
learn and contribute.",3 years ago,Ahmehdabad,104390843385415022417,11,0.9902,positive
Bacancy,1,"Company and ceo were bragging that they have given permanent wfh and changed the page name to bacancy work from anywhere during 2020-2022 but soon they started offices and now all there openings are work from office only. So much cheap publicity done just to get some views and recognition of firm.

So the management says decision of back to office was taken after careful consideration. So the work from anywhere wasn't taken After careful consideration? Why corporates think they can play such tactics while hiring and then start office so employees who do not want to move back will resign and they can reduce their staff with such tactics",8 months ago,Ahmehdabad,116126412950925728733,10,0.3542,positive
Bacancy,5,"It has been two and a half year working as a senior developer for me here at Bacancy Technology!
I could say it is the best company I have ever worked for so far. The environment they provide feels like home. Best part is you can reach out anyone from management directly and they support you at every step. Bacancy's highest priority is customer satisfaction but not on the cost of employee, this is the company who takes care of it's employees as well as their clients.
Company where you can really enjoy your work!",3 years ago,Ahmehdabad,114953279708152819593,43,0.9685,positive
